
#$Filter:none
0.0	0.00012434387207	-2.3551940918e-06	1511953868.2913637	
0.0	0.00012434387207	-2.3551940918e-06	1511953868.7913623	
0.0	0.00012434387207	-2.3551940918e-06	1511953869.291365	
0.0	0.00012434387207	-2.3551940918e-06	1511953869.7913802	
0.0	0.00012434387207	-2.3551940918e-06	1511953870.2913713	
0.0	0.000117095947266	-2.49786376953e-06	1511953870.7913716	
0.0	0.000117095947266	-2.49786376953e-06	1511953871.291369	
0.0	0.000117095947266	-2.49786376953e-06	1511953871.7914186	
0.0	0.000117095947266	-2.49786376953e-06	1511953872.291419	
0.0	0.000117095947266	-2.49786376953e-06	1511953872.7913783	
0.0	0.000117095947266	-2.49786376953e-06	1511953873.2914	
0.0	0.000117095947266	-2.49786376953e-06	1511953873.7913706	
0.0	0.000117095947266	-2.49786376953e-06	1511953874.2913866	
0.0	0.000117095947266	-2.49786376953e-06	1511953874.791352	
0.0	0.000117095947266	-2.49786376953e-06	1511953875.2913868	
0.0	0.000117095947266	-2.49786376953e-06	1511953875.7914023	
0.0	0.000117095947266	-2.49786376953e-06	1511953876.291426	
0.0	0.000117095947266	-2.49786376953e-06	1511953876.7914574	
0.0	0.000117599487305	-2.08511352539e-06	1511953877.2914016	
0.0	0.000117599487305	-2.08511352539e-06	1511953877.7914	
0.0	0.000117599487305	-2.08511352539e-06	1511953878.2914069	
0.0	0.000117599487305	-2.08511352539e-06	1511953878.791456	
0.0	0.000117599487305	-2.08511352539e-06	1511953879.291397	
0.0	0.000117599487305	-2.08511352539e-06	1511953879.7913928	
0.0	0.000117599487305	-2.08511352539e-06	1511953880.291372	
0.0	0.000117599487305	-2.08511352539e-06	1511953880.7913854	
0.0	0.000117599487305	-2.08511352539e-06	1511953881.29146	
0.0	0.000117599487305	-2.08511352539e-06	1511953881.7913787	
0.0	0.000117599487305	-2.08511352539e-06	1511953882.2914438	
0.0	0.000117599487305	-2.08511352539e-06	1511953882.791355	
0.0	0.000117599487305	-2.08511352539e-06	1511953883.291396	
0.0	0.000121597290039	-1.95388793945e-06	1511953883.7914035	
0.0	0.000121597290039	-1.95388793945e-06	1511953884.291377	
0.0	0.000121597290039	-1.95388793945e-06	1511953884.791379	
0.0	0.000121597290039	-1.95388793945e-06	1511953885.291388	
0.0	0.000121597290039	-1.95388793945e-06	1511953885.79136	
0.0	0.000121597290039	-1.95388793945e-06	1511953886.291378	
0.0	0.000121597290039	-1.95388793945e-06	1511953886.9761817	
0.0	0.000121597290039	-1.95388793945e-06	1511953887.29141	
0.0	0.000121597290039	-1.95388793945e-06	1511953887.791388	
0.0	0.000121597290039	-1.95388793945e-06	1511953888.2913828	
0.0	0.000121597290039	-1.95388793945e-06	1511953888.79308	
0.0	0.000121597290039	-1.95388793945e-06	1511953889.2913945	
0.0	0.000121597290039	-1.95388793945e-06	1511953889.7913659	
0.0	0.000117309570312	-1.85546875e-06	1511953890.2913504	
0.0	0.000117309570312	-1.85546875e-06	1511953890.7913947	
0.0	0.000117309570312	-1.85546875e-06	1511953891.291374	
0.0	0.000117309570312	-1.85546875e-06	1511953891.7913754	
-92.0	0.000117309570312	-1.85546875e-06	1511953892.2913988	
-92.0	0.000117309570312	-1.85546875e-06	1511953892.791376	
-92.0	0.000117309570312	-1.85546875e-06	1511953893.2913945	
-203.0	0.000117309570312	-1.85546875e-06	1511953893.7913778	
-203.0	0.000117309570312	-1.85546875e-06	1511953894.29157	
-313.0	0.000117309570312	-1.85546875e-06	1511953894.7914712	
-313.0	0.000117309570312	-1.85546875e-06	1511953895.291424	
-424.0	0.000117309570312	-1.85546875e-06	1511953895.791543	
-424.0	0.000117309570312	-1.85546875e-06	1511953896.2913933	
-535.0	0.000120269775391	-2.29873657227e-06	1511953896.7913754	
-535.0	0.000120269775391	-2.29873657227e-06	1511953897.2913795	
-646.0	0.000120269775391	-2.29873657227e-06	1511953897.79139	
-646.0	0.000120269775391	-2.29873657227e-06	1511953898.291372	
-757.0	0.000120269775391	-2.29873657227e-06	1511953898.7913818	
-757.0	0.000120269775391	-2.29873657227e-06	1511953899.2914073	
-867.0	0.000120269775391	-2.29873657227e-06	1511953899.7913806	
-867.0	0.000120269775391	-2.29873657227e-06	1511953900.2913823	
-978.0	0.000120269775391	-2.29873657227e-06	1511953900.7913878	
-978.0	0.000120269775391	-2.29873657227e-06	1511953901.2914455	
-978.0	0.000120269775391	-2.29873657227e-06	1511953901.7913742	
-1089.0	0.000120269775391	-2.29873657227e-06	1511953902.2913918	
-1089.0	0.000120269775391	-2.29873657227e-06	1511953902.7913864	
-1200.0	0.000113845825195	-2.90298461914e-06	1511953903.2913885	
-1200.0	0.000113845825195	-2.90298461914e-06	1511953903.7914486	
-1310.0	0.000113845825195	-2.90298461914e-06	1511953904.2917786	
-1310.0	0.000113845825195	-2.90298461914e-06	1511953904.791434	
-1421.0	0.000113845825195	-2.90298461914e-06	1511953905.2914298	
-1421.0	0.000113845825195	-2.90298461914e-06	1511953905.7914045	
-1532.0	0.000113845825195	-2.90298461914e-06	1511953906.2913864	
